title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,is_limited_run,seat_pricing,scrape_datetime
"Dracula, A Comedy of Terrors",https://www.blumenthalarts.org/events/detail/dracula-a-comedy-of-terrors,Musical,Booth Playhouse,130 N Tryon St,Charlotte,USA,2026-06-05,2026-07-14,2026-06-05,2026-07-14,"[{'date': '2026-07-07', 'time': '19:30'}, {'date': '2026-07-08', 'time': '19:30'}, {'date': '2026-07-09', 'time': '19:30'}, {'date': '2026-07-10', 'time': '19:30'}, {'date': '2026-07-11', 'time': '14:00'}, {'date': '2026-07-11', 'time': '19:30'}, {'date': '2026-07-12', 'time': '13:00'}, {'date': '2026-07-14', 'time': '19:30'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}]",2100,USD,True,{},2026-06-05 13:27
& Juliet,https://www.blumenthalarts.org/events/detail/juliet-1,Musical,Belk Theater,130 N Tryon St,Charlotte,USA,2026-08-11,2026-08-16,2026-06-05,2026-08-16,"[{'date': '2026-08-11', 'time': '19:30'}, {'date': '2026-08-12', 'time': '19:30'}, {'date': '2026-08-13', 'time': '19:30'}, {'date': '2026-08-14', 'time': '19:30'}, {'date': '2026-08-15', 'time': '14:00'}, {'date': '2026-08-15', 'time': '19:30'}, {'date': '2026-08-16', 'time': '13:00'}, {'date': '2026-08-16', 'time': '18:30'}]",2100,USD,True,{},2026-06-05 13:28
Hell's Kitchen,https://www.blumenthalarts.org/events/detail/hells-kitchen,Musical,Belk Theater,130 N Tryon St,Charlotte,USA,2026-09-08,2026-09-13,2026-06-05,2026-09-13,"[{'date': '2026-09-08', 'time': '19:30'}, {'date': '2026-09-09', 'time': '19:30'}, {'date': '2026-09-10', 'time': '19:30'}, {'date': '2026-09-11', 'time': '19:30'}, {'date': '2026-09-12', 'time': '14:00'}, {'date': '2026-09-12', 'time': '19:30'}, {'date': '2026-09-13', 'time': '13:00'}, {'date': '2026-09-13', 'time': '18:30'}]",2100,USD,True,{},2026-06-05 13:30
Carrie: The Musical,https://www.blumenthalarts.org/events/detail/carrie-the-musical,Play,Stage Door Theater,130 N Tryon St,Charlotte,USA,2026-06-11,2026-06-13,2026-06-05,2026-06-13,"[{'date': '2026-06-11', 'time': '20:00'}, {'date': '2026-06-12', 'time': '20:00'}, {'date': '2026-06-13', 'time': '14:00'}, {'date': '2026-06-13', 'time': '20:00'}]",2100,USD,True,{},2026-06-05 13:31
"Dracula, A Comedy of Terrors",https://www.blumenthalarts.org/events/detail/dracula-a-comedy-of-terrors,Play,Booth Playhouse,130 N Tryon St,Charlotte,USA,2026-06-05,2026-07-14,2026-06-05,2026-07-14,"[{'date': '2026-07-07', 'time': '19:30'}, {'date': '2026-07-08', 'time': '19:30'}, {'date': '2026-07-09', 'time': '19:30'}, {'date': '2026-07-10', 'time': '19:30'}, {'date': '2026-07-11', 'time': '14:00'}, {'date': '2026-07-11', 'time': '19:30'}, {'date': '2026-07-12', 'time': '13:00'}, {'date': '2026-07-14', 'time': '19:30'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}, {'date': '2026-06-05', 'time': '00:00'}]",2100,USD,True,{},2026-06-05 13:37
Sondheim on Sondheim,https://www.blumenthalarts.org/events/detail/sondheim-on-sondheim,Play,Stage Door Theater,130 N Tryon St,Charlotte,USA,2026-07-18,2026-07-18,2026-06-05,2026-07-18,"[{'date': '2026-07-18', 'time': '14:00'}, {'date': '2026-07-18', 'time': '19:30'}]",2100,USD,True,{},2026-06-05 13:37
